,Assault,Robbery,Break and Enter,Theft Over,Auto Theft,Total,covid cases
1966,1,0,0,0,0,1,0
1967,0,0,0,0,0,0,0
1968,1,0,0,0,0,1,0
1969,0,0,0,0,0,0,0
1970,2,0,0,0,0,2,0
1971,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,0
1974,1,0,0,0,0,1,0
1975,0,0,0,0,0,0,0
1976,4,0,0,0,0,4,0
1977,0,0,0,0,0,0,0
1978,0,0,0,0,1,1,0
1979,0,0,0,0,0,0,0
1980,2,1,0,0,0,3,0
1981,0,0,0,0,0,0,0
1982,1,0,0,0,0,1,0
1983,0,0,0,0,0,0,0
1984,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0
1986,1,0,0,0,0,1,0
1987,1,0,0,0,0,1,0
1988,2,0,0,0,0,2,0
1989,6,0,0,0,0,6,0
1990,10,0,0,0,1,11,0
1991,2,0,0,0,0,2,0
1992,1,0,0,1,0,2,0
1993,1,0,0,0,0,1,0
1994,2,0,1,0,0,3,0
1995,10,0,0,0,0,10,0
1996,4,1,0,1,2,8,0
1997,2,0,1,0,0,3,0
1998,7,0,0,0,0,7,0
1999,11,0,0,1,0,12,0
2000,14,0,0,3,2,19,0
2001,18,0,1,0,1,20,0
2002,8,0,2,1,0,11,0
2003,14,0,0,0,0,14,0
2004,20,3,0,2,0,25,0
2005,22,0,0,1,0,23,0
2006,9,0,0,1,0,10,0
2007,28,0,0,1,0,29,0
2008,34,0,0,2,3,39,0
2009,59,0,1,5,1,66,0
2010,75,0,5,6,4,90,0
2011,109,0,3,12,1,125,0
2012,155,1,4,13,3,176,0
2013,355,37,73,72,32,569,0
2014,16512,3622,7200,997,3589,31920,0
2015,17894,3477,6906,1032,3247,32556,0
2016,18679,3645,6397,1016,3303,33040,0
2017,19162,3977,6872,1157,3564,34732,0
2018,19553,3623,7606,1252,4777,36811,0
2019,20407,3508,8458,1341,5287,39001,0
2020,17751,2771,6884,1194,5703,34303,60313
2021,18005,2215,5585,972,6354,33131,160324
